DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF
0,260,126,0.48,0.2,21.67
0,260,57,0.22,0.07,8.43
0,260,78,0.3,0.11,10.53
1,260,124,0.48,0.29,14.8
1,260,58,0.22,0.09,6.55
0,260,115,0.44,0.24,14.4
0,260,78,0.3,0.14,11.1
0,260,47,0.18,0.08,7.38
0,260,57,0.22,0.17,6.98
0,260,26,0.1,0.06,3.65
0,260,35,0.13,0.08,5.03
0,260,30,0.12,0.04,6.47
0,260,108,0.42,0.11,13.47
1,260,49,0.19,0.06,7.47
1,260,43,0.17,0.11,6.84
1,260,77,0.3,0.16,9.1
1,188,131,0.7,0.24,15.79
1,188,43,0.23,0.04,7.38
0,188,34,0.18,0.14,8.23
0,188,110,0.59,0.31,16.47
1,188,109,0.58,0.24,18.59
1,188,43,0.23,0.12,6.04
1,188,33,0.18,0.08,3.65
0,188,55,0.29,0.19,10.85
0,188,98,0.52,0.28,20.4
0,188,163,0.87,0.29,25.66
1,188,54,0.29,0.22,9.28
1,188,76,0.4,0.11,10.36
1,188,73,0.39,0.13,11.5
1,188,60,0.32,0.14,10.98
0,188,19,0.1,0.08,2.86
0,188,162,0.86,0.39,25.83
0,188,38,0.2,0.1,5.05
1,188,194,1.03,0.37,33.65
0,188,45,0.24,0.08,7.57
0,188,79,0.42,0.14,11.99
1,134,42,0.31,0.1,5.54
1,134,73,0.54,0.13,9.2
1,134,59,0.44,0.1,7.14
0,134,40,0.3,0.15,4.11
0,134,24,0.18,0.1,1.87
1,134,65,0.49,0.19,5.64
1,134,55,0.41,0.1,6.05
0,134,71,0.53,0.14,7.95
0,134,60,0.45,0.21,7.66
0,134,88,0.66,0.2,10.79
0,134,35,0.26,0.16,3.71
1,134,116,0.87,0.23,13.64
0,134,33,0.25,0.12,2.45
1,134,25,0.19,0.05,2.85
0,134,80,0.6,0.24,7.18
0,134,31,0.23,0.08,3.89
0,134,83,0.62,0.15,9.31
1,134,77,0.57,0.17,9.49
1,192,72,0.38,0.08,9.53
1,192,45,0.23,0.12,5.75
1,192,23,0.12,0.04,2.67
0,192,1,0.01,0.02,-0.18
0,192,1,0.01,0.02,-0.18
1,192,112,0.58,0.18,15.83
0,192,51,0.27,0.08,8.58
0,192,40,0.21,0.08,4.22
0,192,88,0.46,0.17,11.88
0,192,121,0.63,0.22,17.48
1,192,74,0.39,0.19,11.65
1,192,38,0.2,0.06,3.99
1,192,46,0.24,0.12,5.64
1,192,103,0.54,0.18,14.18
0,192,150,0.78,0.34,19.93
0,192,75,0.39,0.15,10.16
0,192,60,0.31,0.13,8.58
0,192,39,0.2,0.07,5.83
0,192,59,0.31,0.07,7.76
0,192,79,0.41,0.19,11.14
0,192,34,0.18,0.07,3.99
0,192,106,0.55,0.23,15.54
0,192,90,0.47,0.13,14.11
1,192,94,0.49,0.18,11.35
1,192,40,0.21,0.04,5.32
1,149,38,0.26,0.08,6.32
1,149,77,0.52,0.26,19.28
1,149,38,0.26,0.06,8.51
0,149,71,0.48,0.16,9.44
1,149,63,0.42,0.2,7.36
1,149,73,0.49,0.43,13.9
1,149,77,0.52,0.26,12.16
0,149,27,0.18,0.09,4.66
0,149,77,0.52,0.27,11.33
0,149,44,0.3,0.19,7.78
0,149,35,0.23,0.1,8.92
0,149,52,0.35,0.22,7.61
0,149,21,0.14,0.12,4.52
1,149,50,0.34,0.21,8.48
1,149,59,0.4,0.29,8.56
1,149,72,0.48,0.21,11.77
0,149,80,0.54,0.16,15.24
0,149,44,0.3,0.19,8.53
1,149,43,0.29,0.14,5.72
0,149,86,0.58,0.33,13.2
0,149,41,0.28,0.15,6.43
0,149,94,0.63,0.27,16.37
0,149,40,0.27,0.12,6.41
